,index,Country Name,Year,Alcohol consumption
270,4,California,2017,7.304705677
271,5,California,2016,7.266473036
272,6,California,2015,7.302434431000001
273,7,California,2014,7.280857594
274,8,California,2013,7.440601896000001
275,9,California,2012,7.340288531
276,10,California,2011,7.379278254
277,11,California,2010,6.880361216000001
278,12,California,2009,6.901559512
279,13,California,2008,6.985974155000001
280,14,California,2007,6.883768085000002
281,15,California,2006,7.060546732000001
282,16,California,2005,6.64717996
283,17,California,2004,6.766041834000001
284,18,California,2003,6.787240130000001
285,19,California,2002,6.526425381
286,20,California,2001,6.618789385
287,21,California,2000,6.699797159
288,22,California,1999,6.6547507800000005
289,23,California,1998,6.5718503010000004
290,24,California,1997,6.661185977000001
291,25,California,1996,6.770205785
292,26,California,1995,6.739543964
293,27,California,1994,6.750521653000001
294,28,California,1993,7.026856583000001
295,29,California,1992,7.3137906610000005
296,30,California,1991,7.743813237
297,31,California,1990,8.153394599
298,32,California,1989,8.433893480000002
299,33,California,1988,8.679566589
300,34,California,1987,9.090662115
301,35,California,1986,9.494186821000001
302,36,California,1985,9.629704498999999
303,37,California,1984,9.698977502
304,38,California,1983,9.92534502
305,39,California,1982,9.905660888000002
306,40,California,1981,10.222121164
307,41,California,1980,10.454166797
308,42,California,1979,10.19789454
309,43,California,1978,10.266789002000001
310,44,California,1977,9.98969699
311,45,California,1976,9.650902795
312,46,California,1975,9.479423722
313,47,California,1974,9.284475107
314,48,California,1973,9.086876705
315,49,California,1972,8.837039645
316,50,California,1971,8.652311637
317,51,California,1970,8.141281287
318,52,California,1969,8.219260733
319,53,California,1968,7.589368509000001
320,54,California,1967,7.252467019
321,55,California,1966,7.367164942
322,56,California,1965,7.136254931999999
323,57,California,1964,7.102943324000001
324,58,California,1963,6.644908714
325,59,California,1962,6.595698384000002
326,60,California,1961,6.460559247000001
327,61,California,1960,6.339047586000001
328,62,California,1955,6.071797640000001
329,63,California,1950,6.587370482000001
330,64,California,1945,7.747220106000001
331,65,California,1940,5.5899149470000005
332,66,California,1935,5.951800143
